MVMinusBV,Portfolio_Name,Issuer_Name,Asset_Name,Position_ID,Commitment,Outstanding,BookValue,BVPrice,MarketValue,MarkPrice_MarkPrice,Asset_AssetDetail_Type,MVParity,CurrencyType_Identifier,Quantity,Asset_Primary IDAssetID_Name
"27291.5065861698","PennantPark Credit Opportunities Fund IV Aggregator, LP","Best Practice Associates, LLC","First Lien - Term Loan","1377630","9950000","9950000","9798333.49341383","98.4757135016465","9825625","98.75","4","98256.25","USD","9950000","LX253833"
"173853.023651545","PennantPark Credit Opportunities Fund IV Aggregator, LP","Beta Plus Technologies, Inc.","Initial Term Loan","1373864","4402027.18","4402027.18","4129128.54479846","93.8006144886742","4302981.56845","97.75","4","43029.8156845","USD","4402027.18","LX206113"
"6.02540239924565e-12","PennantPark Credit Opportunities Fund IV Aggregator, LP","Big Top Holdings, LLC","First Lien - Revolver","1375473","288800","0","0","100","6.02540239924565e-12","100","4","6.02540239924565e-14","USD","288800","LX227736"
"38727.1365814712","PennantPark Credit Opportunities Fund IV Aggregator, LP","Big Top Holdings, LLC","Term Loan","1375480","2847115.38461551","2847115.3846","2808388.24801853","98.6397763578275","2847115.3846","100","4","28471.153846","USD","2847115.38461551","LX227735"
"0","PennantPark Credit Opportunities Fund IV Aggregator, LP","BioDerm Holdings, LP","Common Equity","1373741","0","0","0","0","0","0","138","0","USD","437","1703"
"-12409.7964295","PennantPark Credit Opportunities Fund IV Aggregator, LP","BioDerm Holdings, LP","Preferred Equity","1377010","437000","437000","437000","1000","424590.2035705","971.6022965","138","424590.2035705","USD","437","BDC 22658"
"-17751.0952902515","PennantPark Credit Opportunities Fund IV Aggregator, LP","BIODERM, INC.","First Lien","1373748","2940000","2940000","2921001.09529025","99.3537787513691","2903250","98.75","4","29032.5","USD","2940000","LX216586"
"-4464.28574999998","PennantPark Credit Opportunities Fund IV Aggregator, LP","BIODERM, INC.","First Lien - Revolver","1373744","357142.86","357142.8532","357142.8532","100","352678.56745","98.75","4","3526.7856745","USD","357142.86","LX216589"
"-16275.4464","PennantPark Credit Opportunities Fund IV Aggregator, LP","Burgess Point Holdings, L.P.","Common Equity","1376807","145452","145452","145452","1150","129176.5536","1021.32","138","129176.5536","USD","126.48","1631"
"-323863.803605933","PennantPark Credit Opportunities Fund IV Aggregator, LP","BURGESS POINT PURCHASER CORPORATION","Initial Term Loan (First Lien)","1376812","2969543.16","2969543.16","2845184.11903553","95.8121827411167","2521320.3154296","84.906","4","25213.203154296","USD","2969543.16","LX205817"
"3393.31619537249","PennantPark Credit Opportunities Fund IV Aggregator, LP","By Light Holdings LLC","Holdco Note","1374158","4292298.76844538","4292298.7682","4288905.45200463","99.9209440819843","4292298.7682","100","4","42922.987682","USD","4292298.76844538","1624"
"0","PennantPark Credit Opportunities Fund IV Aggregator, LP","By Light Professional IT Services LLC","Existing Term Loan","1377140","7592920.54849661","7592920.5485","7592920.5485","100","7592920.5485","100","4","75929.205485","USD","7592920.54849661","LX213771"
"5172.0143901016","PennantPark Credit Opportunities Fund IV Aggregator, LP","By Light Professional IT Services LLC","Revolving Loan Retired 07/15/2025","1377141","810247.98","138899.6532","133727.638809898","99.3616751269035","138899.6532","100","4","1388.996532","USD","810247.98","LX164575"
"5.82076609134674e-11","PennantPark Credit Opportunities Fund IV Aggregator, LP","C5MI Acquisition, LLC","First Lien - Revolver - Revolver","1376690","1653300","385770","385770","100","385770","100","4","3857.7","USD","1653300","LX239964"
"97249.7809419492","PennantPark Credit Opportunities Fund IV Aggregator, LP","C5MI Acquisition, LLC","Term Loan","1376685","7940000","7940000","7842750.21905805","98.7751916757941","7940000","100","4","79400","USD","7940000","LX239961"
"-119662.42624","PennantPark Credit Opportunities Fund IV Aggregator, LP","C5MI HOLDCO, LLC ","Common Equity","1376722","301700","301700","301700","1","182037.57376","0.6033728","138","182037.57376","USD","301700","2241"
"5407.99999999999","PennantPark Credit Opportunities Fund IV Aggregator, LP","C5MI HOLDCO, LLC ","Preferred Equity","1376718","41600","41600","41600","1","47008","1.13","138","47008","USD","41600","2242"
"-28218.5295833349","PennantPark Credit Opportunities Fund IV Aggregator, LP","Carnegie Dartlet, LLC","First Lien - DDTL - DDTL","1375254","2821852.9583335","657169.6249","657169.6249","100","628951.095316665","99","4","6289.51095316665","USD","2821852.9583335","1926"
"-9411.99999999998","PennantPark Credit Opportunities Fund IV Aggregator, LP","Carnegie Dartlet, LLC","First Lien - Revolver - Rev","1375259","941200","0","0","100","-9411.99999999998","99","4","-94.1199999999998","USD","941200","1924"
"11929.2883211672","PennantPark Credit Opportunities Fund IV Aggregator, LP","Carnegie Dartlet, LLC","First Lien - Term Loan - Initial","1375249","7900000","7900000","7809070.71167883","98.848996350365","7821000","99","4","78210","USD","7900000","1925"
"-68171.7141344014","PennantPark Credit Opportunities Fund IV Aggregator, LP","Carnegie HoldCo, LLC","Common Equity","1375284","461853.714130465","461853.714130465","461853.714130465","0.961994822193466","393681.999996063","0.82","138","393681.999996063","USD","480099.999995199","1927"
"128027.586206897","PennantPark Credit Opportunities Fund IV Aggregator, LP","Confluent Health, LLC","Amendment No. 1 Term Loan","1373889","2932500","2932500","2804472.4137931","95.6341829085457","2932500","100","4","29325","USD","2932500","LX210834"
"-28268.8037848843","PennantPark Credit Opportunities Fund IV Aggregator, LP","Consello Pacific Aggregator, LLC ","Preferred Equity","1375166","130929.298784884","130929.298784884","130929.298784884","0.956521533318764","102660.495","0.75","138","102660.495","USD","136880.66","1827"
"-254658.665474662","PennantPark Credit Opportunities Fund IV Aggregator, LP","CoolSys, Inc.","Closing Date Initial Term Loan","1374944","1901401.98819168","1901401.9882","1819759.6840232","95.7062049643461","1565101.01854854","82.313","4","15651.0101854854","USD","1901401.98819168","LX196565"
"38732.8921250058","PennantPark Credit Opportunities Fund IV Aggregator, LP","EDS Buyer, LLC","First Lien","1373662","3421418.47825966","3421418.4785","3391239.13257064","99.1179288321168","3429972.02469565","100.25","4","34299.7202469565","USD","3421418.47825966","1686"
"6480.46875","PennantPark Credit Opportunities Fund IV Aggregator, LP","EDS Buyer, LLC","First Lien - DDTL","1373665","2592187.5","2592187.5","2592187.5","100","2598667.96875","100.25","4","25986.6796875","USD","2592187.5","1685"
"1968.75000000002","PennantPark Credit Opportunities Fund IV Aggregator, LP","EDS Buyer, LLC","First Lien - Revolver","1373668","787500","0","0","100","1968.75000000002","100.25","4","19.6875000000002","USD","787500","1684"
"269456.25","PennantPark Credit Opportunities Fund IV Aggregator, LP","EDS TOPCO, LP","Common Equity","1373658","437500","437500","437500","1","706956.25","1.6159","138","706956.25","USD","437500","1687"
"-566262.774242412","PennantPark Credit Opportunities Fund IV Aggregator, LP","ENC Parent Corporation","Initial Term Loan (First Lien)","1376327","11949995.95","11949995.95","10723759.3317424","89.7386022272452","10157496.5575","85","4","101574.965575","USD","11949995.95","LX196636"
"-7385052.9223454","PennantPark Credit Opportunities Fund IV Aggregator, LP","Endo1 Partners, LLC","First Lien - Term Loan - Last Out","1379295","7500000","7500000","7385052.9223454","98.4673722979387","0","","4","0","USD","7500000","2486"
"-84000","PennantPark Credit Opportunities Fund IV Aggregator, LP","ETE Intermediate II LLC","Liquidty RC","1377414","84000","0","0","100","-84000","","4","-840","USD","84000",""
"3.63797880709171e-12","PennantPark Credit Opportunities Fund IV Aggregator, LP","ETE Intermediate II LLC","Revolving Loan","1374070","180000","18000.0003","18000.0003","100","18000.0003","100","4","180.000003","USD","180000","LX212915"
"19112.6824817518","PennantPark Credit Opportunities Fund IV Aggregator, LP","ETE Intermediate II LLC","Term Loan A","1374067","1470000","1470000","1450887.31751825","98.6998175182482","1470000","100","4","14700","USD","1470000","LX212914"
